ID,PLANILLA,DISENO,PISO,DIRECCION,D+0.25L,Tx(s),Ty(s),Qmin,Qmax,Qx[tonf],Qy[tonf],AREA PLANTA,MURO,L [cm],xi [cm],yi [cm],Espaciamiento de clavos [cm],Cantidad de Tableros OSB,#PPDD de Borde externos,#PPDD de Borde internos,Espaciamiento,# PPDD total,Diametro ATS [cm],Unnamed: 24,Unnamed: 25
,C con ATS (Sin pandeo eje debil),C_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,89642.005002952,0.450406083531397,0.4536416553820963,,,71.75593833327949,71.75593833327949,2526612.8516999995,1.1,120,333.6,0.0,5,2,3,3,20.0,13,3.175,,
,C con ATS (Sin pandeo eje debil),C_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,89642.005002952,0.450406083531397,0.4536416553820963,,,71.75593833327949,71.75593833327949,2526612.8516999995,1.2,120,2011.2,0.0,5,2,3,3,20.0,13,3.175,,
,C con ATS (Sin pandeo eje debil),C_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,89642.005002952,0.450406083531397,0.4536416553820963,,,71.75593833327949,71.75593833327949,2526612.8516999995,2.1,127,826.8,122.8,5,2,3,3,20.0,13,3.175,,
,C con ATS (Sin pandeo eje debil),C_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,89642.005002952,0.450406083531397,0.4536416553820963,,,71.75593833327949,71.75593833327949,2526612.8516999995,2.2,280,1090.4,122.8,5,2,3,3,20.0,17,2.8575,,
,C con ATS (Sin pandeo eje debil),C_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,89642.005002952,0.450406083531397,0.4536416553820963,,,71.75593833327949,71.75593833327949,2526612.8516999995,2.3,127,1506.8,122.8,5,2,3,3,20.0,13,3.175,,
,C con ATS (Sin pandeo eje debil),C_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,89642.005002952,0.450406083531397,0.4536416553820963,,,71.75593833327949,71.75593833327949,2526612.8516999995,3.1,205,122.3,323.8,5,2,3,3,20.0,15,2.8575,,
,C con ATS (Sin pandeo eje debil),C_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,89642.005002952,0.450406083531397,0.4536416553820963,,,71.75593833327949,71.75593833327949,2526612.8516999995,3.2,205,2133.5,323.8,5,2,3,3,20.0,15,2.8575,,
,C con ATS (Sin pandeo eje debil),C_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,89642.005002952,0.450406083531397,0.4536416553820963,,,71.75593833327949,71.75593833327949,2526612.8516999995,4.1,169,412.6,427.6,5,2,3,3,20.0,14,2.8575,,
,C con ATS (Sin pandeo eje debil),C_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,89642.005002952,0.450406083531397,0.4536416553820963,,,71.75593833327949,71.75593833327949,2526612.8516999995,4.2,169,1879.2,427.6,5,2,3,3,20.0,14,2.8575,,
,C con ATS (Sin pandeo eje debil),C_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,89642.005002952,0.450406083531397,0.4536416553820963,,,71.75593833327949,71.75593833327949,2526612.8516999995,5.1,540,-6.9,597.6,5,2,3,2,20.0,21,2.8575,,
,C con ATS (Sin pandeo eje debil),C_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,89642.005002952,0.450406083531397,0.4536416553820963,,,71.75593833327949,71.75593833327949,2526612.8516999995,5.2,540,550.0999999999999,597.6,5,2,3,2,20.0,21,2.8575,,
,C con ATS (Sin pandeo eje debil),C_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,89642.005002952,0.450406083531397,0.4536416553820963,,,71.75593833327949,71.75593833327949,2526612.8516999995,5.3,540,1370.4,597.6,5,2,3,2,20.0,21,2.8575,,
,C con ATS (Sin pandeo eje debil),C_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,89642.005002952,0.450406083531397,0.4536416553820963,,,71.75593833327949,71.75593833327949,2526612.8516999995,5.4,540,1927.4,597.6,5,2,3,2,20.0,21,2.8575,,
,C con ATS (Sin pandeo eje debil),C_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,89642.005002952,0.450406083531397,0.4536416553820963,,,71.75593833327949,71.75593833327949,2526612.8516999995,6.1,169,412.6,767.6,5,2,3,3,20.0,14,2.8575,,
,C con ATS (Sin pandeo eje debil),C_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,89642.005002952,0.450406083531397,0.4536416553820963,,,71.75593833327949,71.75593833327949,2526612.8516999995,6.2,169,1879.2,767.6,5,2,3,3,20.0,14,2.8575,,
,C con ATS (Sin pandeo eje debil),C_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,89642.005002952,0.450406083531397,0.4536416553820963,,,71.75593833327949,71.75593833327949,2526612.8516999995,7.1,205,122.3,871.4,5,2,3,3,20.0,15,2.8575,,
,C con ATS (Sin pandeo eje debil),C_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,89642.005002952,0.450406083531397,0.4536416553820963,,,71.75593833327949,71.75593833327949,2526612.8516999995,7.2,205,2133.5,871.4,5,2,3,3,20.0,15,2.8575,,
,C con ATS (Sin pandeo eje debil),C_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,89642.005002952,0.450406083531397,0.4536416553820963,,,71.75593833327949,71.75593833327949,2526612.8516999995,8.1,127,826.8,1072.4,5,2,3,3,20.0,13,3.175,,
,C con ATS (Sin pandeo eje debil),C_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,89642.005002952,0.450406083531397,0.4536416553820963,,,71.75593833327949,71.75593833327949,2526612.8516999995,8.2,127,1506.8,1072.4,5,2,3,3,20.0,13,3.175,,
,C con ATS (Sin pandeo eje debil),C_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,89642.005002952,0.450406083531397,0.4536416553820963,,,71.75593833327949,71.75593833327949,2526612.8516999995,9.1,120,333.6,1195.2,5,2,3,3,20.0,13,3.175,,
,C con ATS (Sin pandeo eje debil),C_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,89642.005002952,0.450406083531397,0.4536416553820963,,,71.75593833327949,71.75593833327949,2526612.8516999995,9.2,120,2011.2,1195.2,5,2,3,3,20.0,13,3.175,,
,C con ATS (Sin pandeo eje debil),C_5_0.002_5.5_C_II_3_MGP10_ATS_Op,1,X,89434.27842125202,0.4231977533005732,0.37588715245756077,,,71.53055375364951,71.53055375364951,2526612.8516999995,1.1,120,333.6,0.0,5,2,3,2,20.0,10,4.445,,
,C con ATS (Sin pandeo eje debil),C_5_0.002_5.5_C_II_3_MGP10_ATS_Op,1,X,89434.27842125202,0.4231977533005732,0.37588715245756077,,,71.53055375364951,71.53055375364951,2526612.8516999995,1.2,120,2011.2,0.0,5,2,3,2,20.0,10,4.445,,
,C con ATS (Sin pandeo eje debil),C_5_0.002_5.5_C_II_3_MGP10_ATS_Op,1,X,89434.27842125202,0.4231977533005732,0.37588715245756077,,,71.53055375364951,71.53055375364951,2526612.8516999995,2.1,127,826.8,122.8,5,2,3,2,20.0,10,4.445,,
,C con ATS (Sin pandeo eje debil),C_5_0.002_5.5_C_II_3_MGP10_ATS_Op,1,X,89434.27842125202,0.4231977533005732,0.37588715245756077,,,71.53055375364951,71.53055375364951,2526612.8516999995,2.2,280,1090.4,122.8,5,2,3,3,20.0,15,4.445,,
,C con ATS (Sin pandeo eje debil),C_5_0.002_5.5_C_II_3_MGP10_ATS_Op,1,X,89434.27842125202,0.4231977533005732,0.37588715245756077,,,71.53055375364951,71.53055375364951,2526612.8516999995,2.3,127,1506.8,122.8,5,2,3,2,20.0,10,4.445,,
,C con ATS (Sin pandeo eje debil),C_5_0.002_5.5_C_II_3_MGP10_ATS_Op,1,X,89434.27842125202,0.4231977533005732,0.37588715245756077,,,71.53055375364951,71.53055375364951,2526612.8516999995,3.1,205,122.3,323.8,5,2,3,3,20.0,14,4.445,,
,C con ATS (Sin pandeo eje debil),C_5_0.002_5.5_C_II_3_MGP10_ATS_Op,1,X,89434.27842125202,0.4231977533005732,0.37588715245756077,,,71.53055375364951,71.53055375364951,2526612.8516999995,3.2,205,2133.5,323.8,5,2,3,3,20.0,14,4.445,,
,C con ATS (Sin pandeo eje debil),C_5_0.002_5.5_C_II_3_MGP10_ATS_Op,1,X,89434.27842125202,0.4231977533005732,0.37588715245756077,,,71.53055375364951,71.53055375364951,2526612.8516999995,4.1,169,412.6,427.6,5,2,3,3,20.0,13,4.445,,
,C con ATS (Sin pandeo eje debil),C_5_0.002_5.5_C_II_3_MGP10_ATS_Op,1,X,89434.27842125202,0.4231977533005732,0.37588715245756077,,,71.53055375364951,71.53055375364951,2526612.8516999995,4.2,169,1879.2,427.6,5,2,3,3,20.0,13,4.445,,
,C con ATS (Sin pandeo eje debil),C_5_0.002_5.5_C_II_3_MGP10_ATS_Op,1,X,89434.27842125202,0.4231977533005732,0.37588715245756077,,,71.53055375364951,71.53055375364951,2526612.8516999995,5.1,540,-6.9,597.6,5,2,3,3,20.0,19,4.445,,
,C con ATS (Sin pandeo eje debil),C_5_0.002_5.5_C_II_3_MGP10_ATS_Op,1,X,89434.27842125202,0.4231977533005732,0.37588715245756077,,,71.53055375364951,71.53055375364951,2526612.8516999995,5.2,540,550.0999999999999,597.6,5,2,3,3,20.0,19,4.445,,
,C con ATS (Sin pandeo eje debil),C_5_0.002_5.5_C_II_3_MGP10_ATS_Op,1,X,89434.27842125202,0.4231977533005732,0.37588715245756077,,,71.53055375364951,71.53055375364951,2526612.8516999995,5.3,540,1370.4,597.6,5,2,3,3,20.0,19,4.445,,
,C con ATS (Sin pandeo eje debil),C_5_0.002_5.5_C_II_3_MGP10_ATS_Op,1,X,89434.27842125202,0.4231977533005732,0.37588715245756077,,,71.53055375364951,71.53055375364951,2526612.8516999995,5.4,540,1927.4,597.6,5,2,3,3,20.0,19,4.445,,
,C con ATS (Sin pandeo eje debil),C_5_0.002_5.5_C_II_3_MGP10_ATS_Op,1,X,89434.27842125202,0.4231977533005732,0.37588715245756077,,,71.53055375364951,71.53055375364951,2526612.8516999995,6.1,169,412.6,767.6,5,2,3,3,20.0,13,4.445,,
,C con ATS (Sin pandeo eje debil),C_5_0.002_5.5_C_II_3_MGP10_ATS_Op,1,X,89434.27842125202,0.4231977533005732,0.37588715245756077,,,71.53055375364951,71.53055375364951,2526612.8516999995,6.2,169,1879.2,767.6,5,2,3,3,20.0,13,4.445,,
,C con ATS (Sin pandeo eje debil),C_5_0.002_5.5_C_II_3_MGP10_ATS_Op,1,X,89434.27842125202,0.4231977533005732,0.37588715245756077,,,71.53055375364951,71.53055375364951,2526612.8516999995,7.1,205,122.3,871.4,5,2,3,3,20.0,14,4.445,,
,C con ATS (Sin pandeo eje debil),C_5_0.002_5.5_C_II_3_MGP10_ATS_Op,1,X,89434.27842125202,0.4231977533005732,0.37588715245756077,,,71.53055375364951,71.53055375364951,2526612.8516999995,7.2,205,2133.5,871.4,5,2,3,3,20.0,14,4.445,,
,C con ATS (Sin pandeo eje debil),C_5_0.002_5.5_C_II_3_MGP10_ATS_Op,1,X,89434.27842125202,0.4231977533005732,0.37588715245756077,,,71.53055375364951,71.53055375364951,2526612.8516999995,8.1,127,826.8,1072.4,5,2,3,2,20.0,10,4.445,,
,C con ATS (Sin pandeo eje debil),C_5_0.002_5.5_C_II_3_MGP10_ATS_Op,1,X,89434.27842125202,0.4231977533005732,0.37588715245756077,,,71.53055375364951,71.53055375364951,2526612.8516999995,8.2,127,1506.8,1072.4,5,2,3,2,20.0,10,4.445,,
,C con ATS (Sin pandeo eje debil),C_5_0.002_5.5_C_II_3_MGP10_ATS_Op,1,X,89434.27842125202,0.4231977533005732,0.37588715245756077,,,71.53055375364951,71.53055375364951,2526612.8516999995,9.1,120,333.6,1195.2,5,2,3,2,20.0,10,4.445,,
,C con ATS (Sin pandeo eje debil),C_5_0.002_5.5_C_II_3_MGP10_ATS_Op,1,X,89434.27842125202,0.4231977533005732,0.37588715245756077,,,71.53055375364951,71.53055375364951,2526612.8516999995,9.2,120,2011.2,1195.2,5,2,3,2,20.0,10,4.445,,
,C con ATS (Sin pandeo eje debil),C_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,88858.695650452,0.5004101050325036,0.4727209233231875,,,62.55851366284894,62.55851366284894,2526612.8516999995,1.1,120,333.6,0.0,5,2,2,2,20.0,9,2.54,,
,C con ATS (Sin pandeo eje debil),C_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,88858.695650452,0.5004101050325036,0.4727209233231875,,,62.55851366284894,62.55851366284894,2526612.8516999995,1.2,120,2011.2,0.0,5,2,2,2,20.0,9,2.54,,
