ID,PLANILLA,DISENO,PISO,DIRECCION,D+0.25L,Tx(s),Ty(s),Qmin,Qmax,Qx[tonf],Qy[tonf],AREA PLANTA,MURO,L [cm],xi [cm],yi [cm],Espaciamiento de clavos [cm],Cantidad de Tableros OSB,#PPDD de Borde externos,#PPDD de Borde internos,Espaciamiento,# PPDD total,Diametro ATS [cm]
,D con ATS (Sin pandeo eje debil),D_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,186807.9596051239,0.44712077171387216,0.3997320228461101,,,149.99543757158008,149.99543757158008,5302759.515700001,A.1,433.0,1097.0,0.0,5,2,3,2,20.0,19,2.8575
,D con ATS (Sin pandeo eje debil),D_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,186807.9596051239,0.44712077171387216,0.3997320228461101,,,149.99543757158008,149.99543757158008,5302759.515700001,A.2,122.0,3340.0,0.0,5,2,2,1,20.0,7,2.8575
,D con ATS (Sin pandeo eje debil),D_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,186807.9596051239,0.44712077171387216,0.3997320228461101,,,149.99543757158008,149.99543757158008,5302759.515700001,B.1,120.0,96.0,45.0,5,2,2,1,20.0,7,2.8575
,D con ATS (Sin pandeo eje debil),D_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,186807.9596051239,0.44712077171387216,0.3997320228461101,,,149.99543757158008,149.99543757158008,5302759.515700001,B.2,120.0,445.0,45.0,5,2,2,1,20.0,7,2.8575
,D con ATS (Sin pandeo eje debil),D_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,186807.9596051239,0.44712077171387216,0.3997320228461101,,,149.99543757158008,149.99543757158008,5302759.515700001,B.3,120.0,1869.9,45.0,5,2,2,1,20.0,7,2.8575
,D con ATS (Sin pandeo eje debil),D_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,186807.9596051239,0.44712077171387216,0.3997320228461101,,,149.99543757158008,149.99543757158008,5302759.515700001,B.4,120.0,2218.9,45.0,5,2,2,1,20.0,7,2.8575
,D con ATS (Sin pandeo eje debil),D_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,186807.9596051239,0.44712077171387216,0.3997320228461101,,,149.99543757158008,149.99543757158008,5302759.515700001,B.5,120.0,2530.9,45.0,5,2,2,1,20.0,7,2.8575
,D con ATS (Sin pandeo eje debil),D_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,186807.9596051239,0.44712077171387216,0.3997320228461101,,,149.99543757158008,149.99543757158008,5302759.515700001,B.6,120.0,2879.9,45.0,5,2,2,1,20.0,7,2.8575
,D con ATS (Sin pandeo eje debil),D_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,186807.9596051239,0.44712077171387216,0.3997320228461101,,,149.99543757158008,149.99543757158008,5302759.515700001,B.7,120.0,3801.9,45.0,5,2,2,1,20.0,7,2.8575
,D con ATS (Sin pandeo eje debil),D_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,186807.9596051239,0.44712077171387216,0.3997320228461101,,,149.99543757158008,149.99543757158008,5302759.515700001,B.8,120.0,4150.9,45.0,5,2,2,1,20.0,7,2.8575
