ID,PLANILLA,DISENO,PISO,DIRECCION,D+0.25L,Tx(s),Ty(s),Qmin,Qmax,Qx[tonf],Qy[tonf],AREA PLANTA,MURO,L [cm],xi [cm],yi [cm],Espaciamiento de clavos [cm],Cantidad de Tableros OSB,#PPDD de Borde externos,#PPDD de Borde internos,Espaciamiento,# PPDD total,Diametro ATS [cm]
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,150084.70391726412,0.4095478662127452,0.42361262526656207,,,120.94189800033946,120.94189800033946,4366070.964799999,1.1,120,162,0,5,2,3,2,20.0,11,3.4925
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,150084.70391726412,0.4095478662127452,0.42361262526656207,,,120.94189800033946,120.94189800033946,4366070.964799999,1.2,171,385,0,5,2,3,2,20.0,12,3.175
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,150084.70391726412,0.4095478662127452,0.42361262526656207,,,120.94189800033946,120.94189800033946,4366070.964799999,1.3,171,1362,0,5,2,3,2,20.0,12,3.175
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,150084.70391726412,0.4095478662127452,0.42361262526656207,,,120.94189800033946,120.94189800033946,4366070.964799999,1.4,120,1636,0,5,2,3,2,20.0,11,3.4925
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,150084.70391726412,0.4095478662127452,0.42361262526656207,,,120.94189800033946,120.94189800033946,4366070.964799999,2.1,155,793,122,5,2,3,2,20.0,12,3.175
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,150084.70391726412,0.4095478662127452,0.42361262526656207,,,120.94189800033946,120.94189800033946,4366070.964799999,2.2,155,970,122,5,2,3,2,20.0,12,3.175
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,150084.70391726412,0.4095478662127452,0.42361262526656207,,,120.94189800033946,120.94189800033946,4366070.964799999,3.1,288,184,352,5,2,3,3,20.0,17,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,150084.70391726412,0.4095478662127452,0.42361262526656207,,,120.94189800033946,120.94189800033946,4366070.964799999,3.2,288,1446,352,5,2,3,3,20.0,17,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,150084.70391726412,0.4095478662127452,0.42361262526656207,,,120.94189800033946,120.94189800033946,4366070.964799999,4.1,162,0,644,5,2,2,2,20.0,10,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,150084.70391726412,0.4095478662127452,0.42361262526656207,,,120.94189800033946,120.94189800033946,4366070.964799999,4.2,330,184,644,5,2,3,3,20.0,18,2.8575
