ID,PLANILLA,DISENO,PISO,DIRECCION,D+0.25L,Tx(s),Ty(s),Qmin,Qmax,Qx[tonf],Qy[tonf],AREA PLANTA,MURO,L [cm],xi [cm],yi [cm],Espaciamiento de clavos [cm],Cantidad de Tableros OSB,#PPDD de Borde externos,#PPDD de Borde internos,Espaciamiento,# PPDD total,Diametro ATS [cm]
,C con ATS (Sin pandeo eje debil),C_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.6936972532686,0.660990317042307,33.9027549787058,71.1957854552822,33.9679592627709,37.6563681640695,2526612.8517,1.1,120,333.6,0.0,15,1,1,1,20.0,5,2.54
,C con ATS (Sin pandeo eje debil),C_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.6936972532686,0.660990317042307,33.9027549787058,71.1957854552822,33.9679592627709,37.6563681640695,2526612.8517,1.2,120,2011.2,0.0,15,1,1,1,20.0,5,2.54
,C con ATS (Sin pandeo eje debil),C_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.6936972532686,0.660990317042307,33.9027549787058,71.1957854552822,33.9679592627709,37.6563681640695,2526612.8517,2.1,127,826.8,122.8,15,1,1,1,20.0,5,2.54
,C con ATS (Sin pandeo eje debil),C_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.6936972532686,0.660990317042307,33.9027549787058,71.1957854552822,33.9679592627709,37.6563681640695,2526612.8517,2.2,280,1090.4,122.8,5,1,2,1,20.0,11,2.54
,C con ATS (Sin pandeo eje debil),C_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.6936972532686,0.660990317042307,33.9027549787058,71.1957854552822,33.9679592627709,37.6563681640695,2526612.8517,2.3,127,1506.8,122.8,15,1,1,1,20.0,5,2.54
,C con ATS (Sin pandeo eje debil),C_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.6936972532686,0.660990317042307,33.9027549787058,71.1957854552822,33.9679592627709,37.6563681640695,2526612.8517,3.1,205,122.3,323.8,15,1,1,1,20.0,7,2.54
,C con ATS (Sin pandeo eje debil),C_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.6936972532686,0.660990317042307,33.9027549787058,71.1957854552822,33.9679592627709,37.6563681640695,2526612.8517,3.2,205,2133.5,323.8,15,1,1,1,20.0,7,2.54
,C con ATS (Sin pandeo eje debil),C_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.6936972532686,0.660990317042307,33.9027549787058,71.1957854552822,33.9679592627709,37.6563681640695,2526612.8517,4.1,169,412.6,427.6,15,1,1,1,20.0,6,2.54
,C con ATS (Sin pandeo eje debil),C_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.6936972532686,0.660990317042307,33.9027549787058,71.1957854552822,33.9679592627709,37.6563681640695,2526612.8517,4.2,169,1879.2,427.6,15,1,1,1,20.0,6,2.54
,C con ATS (Sin pandeo eje debil),C_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.6936972532686,0.660990317042307,33.9027549787058,71.1957854552822,33.9679592627709,37.6563681640695,2526612.8517,5.1,540,-6.9,597.6,5,2,3,2,20.0,21,2.54
,C con ATS (Sin pandeo eje debil),C_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.6936972532686,0.660990317042307,33.9027549787058,71.1957854552822,33.9679592627709,37.6563681640695,2526612.8517,5.2,540,550.0999999999999,597.6,5,2,3,2,20.0,21,2.54
,C con ATS (Sin pandeo eje debil),C_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.6936972532686,0.660990317042307,33.9027549787058,71.1957854552822,33.9679592627709,37.6563681640695,2526612.8517,5.3,540,1370.4,597.6,5,2,3,2,20.0,21,2.54
,C con ATS (Sin pandeo eje debil),C_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.6936972532686,0.660990317042307,33.9027549787058,71.1957854552822,33.9679592627709,37.6563681640695,2526612.8517,5.4,540,1927.4,597.6,5,2,3,2,20.0,21,2.54
,C con ATS (Sin pandeo eje debil),C_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.6936972532686,0.660990317042307,33.9027549787058,71.1957854552822,33.9679592627709,37.6563681640695,2526612.8517,6.1,169,412.6,767.6,15,1,1,1,20.0,6,2.54
,C con ATS (Sin pandeo eje debil),C_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.6936972532686,0.660990317042307,33.9027549787058,71.1957854552822,33.9679592627709,37.6563681640695,2526612.8517,6.2,169,1879.2,767.6,15,1,1,1,20.0,6,2.54
,C con ATS (Sin pandeo eje debil),C_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.6936972532686,0.660990317042307,33.9027549787058,71.1957854552822,33.9679592627709,37.6563681640695,2526612.8517,7.1,205,122.3,871.4,15,1,1,1,20.0,7,2.54
,C con ATS (Sin pandeo eje debil),C_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.6936972532686,0.660990317042307,33.9027549787058,71.1957854552822,33.9679592627709,37.6563681640695,2526612.8517,7.2,205,2133.5,871.4,15,1,1,1,20.0,7,2.54
,C con ATS (Sin pandeo eje debil),C_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.6936972532686,0.660990317042307,33.9027549787058,71.1957854552822,33.9679592627709,37.6563681640695,2526612.8517,8.1,127,826.8,1072.4,15,1,1,1,20.0,5,2.54
,C con ATS (Sin pandeo eje debil),C_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.6936972532686,0.660990317042307,33.9027549787058,71.1957854552822,33.9679592627709,37.6563681640695,2526612.8517,8.2,127,1506.8,1072.4,15,1,1,1,20.0,5,2.54
,C con ATS (Sin pandeo eje debil),C_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.6936972532686,0.660990317042307,33.9027549787058,71.1957854552822,33.9679592627709,37.6563681640695,2526612.8517,9.1,120,333.6,1195.2,15,1,1,1,20.0,5,2.54
,C con ATS (Sin pandeo eje debil),C_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.6936972532686,0.660990317042307,33.9027549787058,71.1957854552822,33.9679592627709,37.6563681640695,2526612.8517,9.2,120,2011.2,1195.2,15,1,1,1,20.0,5,2.54
,C con ATS (Sin pandeo eje debil),C_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.697159443789109,0.682621822871146,33.9027549787058,71.1957854552822,33.9027549787058,36.2044415772653,2526612.8517,1.1,120,333.6,0.0,15,1,1,1,20.0,5,2.2225
,C con ATS (Sin pandeo eje debil),C_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.697159443789109,0.682621822871146,33.9027549787058,71.1957854552822,33.9027549787058,36.2044415772653,2526612.8517,1.2,120,2011.2,0.0,15,1,1,1,20.0,5,2.2225
,C con ATS (Sin pandeo eje debil),C_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.697159443789109,0.682621822871146,33.9027549787058,71.1957854552822,33.9027549787058,36.2044415772653,2526612.8517,2.1,127,826.8,122.8,15,1,1,1,20.0,5,2.2225
,C con ATS (Sin pandeo eje debil),C_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.697159443789109,0.682621822871146,33.9027549787058,71.1957854552822,33.9027549787058,36.2044415772653,2526612.8517,2.2,280,1090.4,122.8,5,1,2,1,20.0,11,2.2225
,C con ATS (Sin pandeo eje debil),C_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.697159443789109,0.682621822871146,33.9027549787058,71.1957854552822,33.9027549787058,36.2044415772653,2526612.8517,2.3,127,1506.8,122.8,15,1,1,1,20.0,5,2.2225
,C con ATS (Sin pandeo eje debil),C_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.697159443789109,0.682621822871146,33.9027549787058,71.1957854552822,33.9027549787058,36.2044415772653,2526612.8517,3.1,205,122.3,323.8,15,1,1,1,20.0,7,2.2225
,C con ATS (Sin pandeo eje debil),C_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.697159443789109,0.682621822871146,33.9027549787058,71.1957854552822,33.9027549787058,36.2044415772653,2526612.8517,3.2,205,2133.5,323.8,15,1,1,1,20.0,7,2.2225
,C con ATS (Sin pandeo eje debil),C_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.697159443789109,0.682621822871146,33.9027549787058,71.1957854552822,33.9027549787058,36.2044415772653,2526612.8517,4.1,169,412.6,427.6,15,1,1,1,20.0,6,2.2225
,C con ATS (Sin pandeo eje debil),C_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.697159443789109,0.682621822871146,33.9027549787058,71.1957854552822,33.9027549787058,36.2044415772653,2526612.8517,4.2,169,1879.2,427.6,15,1,1,1,20.0,6,2.2225
,C con ATS (Sin pandeo eje debil),C_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.697159443789109,0.682621822871146,33.9027549787058,71.1957854552822,33.9027549787058,36.2044415772653,2526612.8517,5.1,540,-6.9,597.6,5,2,3,2,20.0,21,2.2225
,C con ATS (Sin pandeo eje debil),C_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.697159443789109,0.682621822871146,33.9027549787058,71.1957854552822,33.9027549787058,36.2044415772653,2526612.8517,5.2,540,550.0999999999999,597.6,5,2,3,2,20.0,21,2.2225
,C con ATS (Sin pandeo eje debil),C_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.697159443789109,0.682621822871146,33.9027549787058,71.1957854552822,33.9027549787058,36.2044415772653,2526612.8517,5.3,540,1370.4,597.6,5,2,3,2,20.0,21,2.2225
,C con ATS (Sin pandeo eje debil),C_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.697159443789109,0.682621822871146,33.9027549787058,71.1957854552822,33.9027549787058,36.2044415772653,2526612.8517,5.4,540,1927.4,597.6,5,2,3,2,20.0,21,2.2225
,C con ATS (Sin pandeo eje debil),C_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.697159443789109,0.682621822871146,33.9027549787058,71.1957854552822,33.9027549787058,36.2044415772653,2526612.8517,6.1,169,412.6,767.6,15,1,1,1,20.0,6,2.2225
,C con ATS (Sin pandeo eje debil),C_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.697159443789109,0.682621822871146,33.9027549787058,71.1957854552822,33.9027549787058,36.2044415772653,2526612.8517,6.2,169,1879.2,767.6,15,1,1,1,20.0,6,2.2225
,C con ATS (Sin pandeo eje debil),C_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.697159443789109,0.682621822871146,33.9027549787058,71.1957854552822,33.9027549787058,36.2044415772653,2526612.8517,7.1,205,122.3,871.4,15,1,1,1,20.0,7,2.2225
,C con ATS (Sin pandeo eje debil),C_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.697159443789109,0.682621822871146,33.9027549787058,71.1957854552822,33.9027549787058,36.2044415772653,2526612.8517,7.2,205,2133.5,871.4,15,1,1,1,20.0,7,2.2225
,C con ATS (Sin pandeo eje debil),C_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.697159443789109,0.682621822871146,33.9027549787058,71.1957854552822,33.9027549787058,36.2044415772653,2526612.8517,8.1,127,826.8,1072.4,15,1,1,1,20.0,5,2.2225
,C con ATS (Sin pandeo eje debil),C_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.697159443789109,0.682621822871146,33.9027549787058,71.1957854552822,33.9027549787058,36.2044415772653,2526612.8517,8.2,127,1506.8,1072.4,15,1,1,1,20.0,5,2.2225
,C con ATS (Sin pandeo eje debil),C_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.697159443789109,0.682621822871146,33.9027549787058,71.1957854552822,33.9027549787058,36.2044415772653,2526612.8517,9.1,120,333.6,1195.2,15,1,1,1,20.0,5,2.2225
,C con ATS (Sin pandeo eje debil),C_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,87473.507270752,0.697159443789109,0.682621822871146,33.9027549787058,71.1957854552822,33.9027549787058,36.2044415772653,2526612.8517,9.2,120,2011.2,1195.2,15,1,1,1,20.0,5,2.2225
,C con ATS (Sin pandeo eje debil),C_6_0.002_7.0_D_II_1_MGP10_ATS,1,X,87670.461774652,0.654053342722503,0.603342678444175,20.3707028099675,42.7784759009317,42.7784759009317,42.7784759009317,2526612.8517,1.1,120,333.6,0.0,15,1,1,1,20.0,5,2.8575
,C con ATS (Sin pandeo eje debil),C_6_0.002_7.0_D_II_1_MGP10_ATS,1,X,87670.461774652,0.654053342722503,0.603342678444175,20.3707028099675,42.7784759009317,42.7784759009317,42.7784759009317,2526612.8517,1.2,120,2011.2,0.0,15,1,1,1,20.0,5,2.8575
,C con ATS (Sin pandeo eje debil),C_6_0.002_7.0_D_II_1_MGP10_ATS,1,X,87670.461774652,0.654053342722503,0.603342678444175,20.3707028099675,42.7784759009317,42.7784759009317,42.7784759009317,2526612.8517,2.1,127,826.8,122.8,15,1,1,1,20.0,5,2.8575
,C con ATS (Sin pandeo eje debil),C_6_0.002_7.0_D_II_1_MGP10_ATS,1,X,87670.461774652,0.654053342722503,0.603342678444175,20.3707028099675,42.7784759009317,42.7784759009317,42.7784759009317,2526612.8517,2.2,280,1090.4,122.8,5,1,2,2,20.0,11,2.8575
,C con ATS (Sin pandeo eje debil),C_6_0.002_7.0_D_II_1_MGP10_ATS,1,X,87670.461774652,0.654053342722503,0.603342678444175,20.3707028099675,42.7784759009317,42.7784759009317,42.7784759009317,2526612.8517,2.3,127,1506.8,122.8,15,1,1,1,20.0,5,2.8575
,C con ATS (Sin pandeo eje debil),C_6_0.002_7.0_D_II_1_MGP10_ATS,1,X,87670.461774652,0.654053342722503,0.603342678444175,20.3707028099675,42.7784759009317,42.7784759009317,42.7784759009317,2526612.8517,3.1,205,122.3,323.8,10,1,1,1,20.0,7,2.8575
,C con ATS (Sin pandeo eje debil),C_6_0.002_7.0_D_II_1_MGP10_ATS,1,X,87670.461774652,0.654053342722503,0.603342678444175,20.3707028099675,42.7784759009317,42.7784759009317,42.7784759009317,2526612.8517,3.2,205,2133.5,323.8,10,1,1,1,20.0,7,2.8575
