ID,PLANILLA,DISENO,PISO,DIRECCION,D+0.25L,Tx(s),Ty(s),Qmin,Qmax,Qx[tonf],Qy[tonf],AREA PLANTA,MURO,L [cm],xi [cm],yi [cm],Espaciamiento de clavos [cm],Cantidad de Tableros OSB,#PPDD de Borde externos,#PPDD de Borde internos,Espaciamiento,# PPDD total,Diametro ATS [cm]
,P1 con ATS (Sin pandeo eje debil),P1_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,162306.88449144622,0.447565938162885,0.45487314485145786,,,115.08854297267708,115.08854297267708,4918759.585999998,1.1,270,293,0,5,2,3,3,20.0,16,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,162306.88449144622,0.447565938162885,0.45487314485145786,,,115.08854297267708,115.08854297267708,4918759.585999998,1.2,270,1357,0,5,2,3,3,20.0,16,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,162306.88449144622,0.447565938162885,0.45487314485145786,,,115.08854297267708,115.08854297267708,4918759.585999998,2.1,149,800,123,5,2,2,2,20.0,10,3.175
,P1 con ATS (Sin pandeo eje debil),P1_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,162306.88449144622,0.447565938162885,0.45487314485145786,,,115.08854297267708,115.08854297267708,4918759.585999998,2.2,149,971,123,5,2,2,2,20.0,10,3.175
,P1 con ATS (Sin pandeo eje debil),P1_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,162306.88449144622,0.447565938162885,0.45487314485145786,,,115.08854297267708,115.08854297267708,4918759.585999998,3.1,544,-11,555,5,2,3,3,20.0,23,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,162306.88449144622,0.447565938162885,0.45487314485145786,,,115.08854297267708,115.08854297267708,4918759.585999998,3.2,224,725,555,5,2,3,2,20.0,13,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,162306.88449144622,0.447565938162885,0.45487314485145786,,,115.08854297267708,115.08854297267708,4918759.585999998,3.3,224,971,555,5,2,3,2,20.0,13,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,162306.88449144622,0.447565938162885,0.45487314485145786,,,115.08854297267708,115.08854297267708,4918759.585999998,3.4,544,1387,555,5,2,3,3,20.0,23,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,162306.88449144622,0.447565938162885,0.45487314485145786,,,115.08854297267708,115.08854297267708,4918759.585999998,4.1,162,-11,777,5,2,2,2,20.0,10,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,162306.88449144622,0.447565938162885,0.45487314485145786,,,115.08854297267708,115.08854297267708,4918759.585999998,4.2,338,173,777,5,2,3,2,20.0,16,2.8575
